,C18358,C18359,C3659,CPt91,R181.96,R249.97,R265.95,R290.96,H19127,H19137,H19144,H19147,chimp.expressed,rhesus.expressed,human.expressed,chimp.specific,rhesus.specific,human.specific
ENSG00000132313,0,25,49,0,28,23,0,22,40,14,37,110,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000132329,0,67,27,20,0,0,0,0,0,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000132517,368,282,769,135,136,165,175,80,8,0,0,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000132744,15,199,74,14,0,0,0,0,6,18,5,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000132821,460,1214,245,80,0,15,0,0,1,5,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000133067,0,0,0,0,312,314,380,371,0,0,0,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000133169,0,14,0,0,433,476,55,201,0,0,7,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000133193,25,0,15,24,17,0,1,0,13,15,29,29,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000133216,0,0,0,0,550,89,321,1020,0,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000133317,70,22,21,16,0,1,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000133678,19,0,26,0,21,70,62,27,6,9,8,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000133818,0,0,5,0,13,47,37,46,14,31,69,50,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000134072,30,10,117,135,45,0,0,21,6,4,8,39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000134183,0,0,0,0,64,24,28,80,0,0,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000134201,0,0,0,0,160,24,124,113,2,0,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ENSG00000134202,0,34,0,0,0,0,1,0,87,49,72,76,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000134243,73,71,339,92,0,1,3,0,19,8,34,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000134321,477,55,619,0,1,2,0,0,35,65,48,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000134531,0,12,0,14,155,257,382,14,3,0,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000134762,1,52,5,1148,0,0,0,1,6,19,65,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000134955,25,196,43,0,0,2,1,0,192,149,107,583,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000135047,0,0,5,32,379,170,282,260,2,0,7,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000135119,64,188,116,118,0,0,0,1,73,83,90,137,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000135144,274,1399,581,312,0,18,0,0,131,11,82,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000135486,0,0,36,20,16,0,27,40,22,51,105,80,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000135547,54,31,73,77,666,413,558,776,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000135747,0,0,0,0,0,12,0,14,12,17,11,41,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000135750,111,106,199,231,0,0,1,1,239,88,51,25,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000135929,0,1,0,0,2,0,2,6,550,983,176,81,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000136003,0,0,10,0,293,358,309,184,384,196,727,401,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
ENSG00000136250,1,24,0,0,2492,937,1044,1721,3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000136630,1,129,9,0,409,93,154,380,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000136810,159,116,475,277,0,0,0,0,415,263,404,447,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000136942,136,165,740,273,0,41,0,0,666,269,563,1060,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000136999,284,63,1095,908,0,0,1,0,3,7,6,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000137101,0,21,24,0,13,0,54,16,44,70,20,69,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000137154,859,3090,4390,2482,0,34,25,0,1946,3264,3022,4698,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ENSG00000137434,0,0,0,0,53,97,20,0,5,1,10,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENSG00000137507,0,78,8,0,262,173,112,121,0,0,5,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
